date,source,rating,title,text,thumbs_up,app_version,developer_replied
2025-11-08 04:24:19+00:00,App Store,1,Iphone app is worst,"It is quite a bad experience using ind money on iphone, it is not able to verify device ask to switch off wifi and other archaic requirements but then also everytime it looks for mobile binding sms and then boom your device cannot be verified. Who is doing your testing? Fire those guys",0,5.8.7,False
2025-11-07 13:06:01+00:00,App Store,1,Worst Customer Services,"It’s been 8 days since I made a transaction, still the wallet is showing in progress. It’s very difficult to buy US stocks here due to long transaction time. The customer care executives are bad and lacks empathy, cuts the call in between. Very very disappointed, will never recommend IND money to any of my friends and relatives.",0,5.8.7,False
2025-11-06 07:00:26+00:00,App Store,2,iPad app,Need a native iPad app supporting full resolution. Without it this app will look very awkward.,0,5.8.7,False
2025-11-06 06:33:38+00:00,App Store,1,Please don’t borrow money on this app,If you are planning to borrow money on this app please don’t. Their app is buggy. I foreclosed my loan amount and still got emi deducted. And I have been following up day and night for refund with only one response- lenders system is not updated yet. It’s been a week now. I have received all the confirmation message from lender itself that loan is foreclosed and these people are playing games like this! Please don’t make the same mistake I did. They call 100 times for emi reminder and spam you like crazy. Better option is CRED.,0,5.8.7,False
2025-11-06 01:54:07+00:00,App Store,2,"Improve your UX, and implement common sense before AI","The SIP UX is a headache, does not allow deleting, does not apply filter automatically, does not save my filters. SIPs for some reason are not able to use money from alpaca wallet, so I can optimise on gst. There are very few bugs but the app is almost unusable. Also, SIPs keep failing",0,5.8.7,False
2025-11-05 17:50:51+00:00,App Store,3,Basic Functionality Missing,"App needs some basic functionalities added like: 1. US Stock Orders screen doesn’t have an option to click and see the real time stock movement of the stock you just bought. Since it takes 24h for it move from Orders tab to you Holdings tab, you pretty much stay in the dark about its performance especially after having bought a stock. 2. The debit of the wallet balance happens instantly but the credit after a stock is sold even notionally doesn’t reflect the balance until 24 hour limit. 3. The transaction screen is missing and right now the orders screen appears a bit of mess if you have traded a few stocks and both credit and debit becomes a mess to understand",0,5.8.7,False
2025-11-04 12:32:52+00:00,App Store,5,Ultimate app But,Awesome app no doubt but plz add Receive QR code for UPI payment 🙏🏻,0,5.8.7,False
2025-11-04 03:02:48+00:00,App Store,1,"Fix your app, it is keep on asking to register to view the live updates","Fix your app, it is keep on asking to register to view the live updates",0,5.8.6,False
2025-11-02 16:36:09+00:00,App Store,2,The app UI is very complicated,The app UI is very complicated specially in stock section. It is very difficult to find stock SIP sections. Watchlist and others. If the UI of the stock and MF section got simplified i will give 5 star.,0,5.8.6,False
2025-11-02 12:24:45+00:00,App Store,3,Great App with Room for Improvement in Tracking,"NPS tracking could be improved — it would be great if tracking was available through the CDSL statement instead of email statements. EPF tracking also needs some refinement, and EPS should ideally be excluded. Other than that, the app’s features are awesome!",0,5.8.6,False
2025-10-31 15:59:42+00:00,App Store,1,App become too complex,App become too complex . I’m developer myself it super painful for me to use app not sure about non dev people. can plz plan about lite version of app for example binance.,0,5.8.5,False
2025-10-31 00:10:44+00:00,App Store,5,Stock market,Good app to use for any type of investment related,0,5.8.5,False
2025-10-30 13:03:04+00:00,App Store,5,Add support for standard chartered bank account,Please add support for linking standard charter bank account,0,5.8.5,False
2025-10-30 10:07:41+00:00,App Store,5,Best,Value,0,5.8.5,False
2025-10-29 11:41:39+00:00,App Store,5,One place for all your investments,"One of the best apps for investing in US stocks, see your total net-worth under one roof",0,5.8.5,False
2025-10-27 06:46:07+00:00,App Store,5,All in one,One of the best UI for all segments,0,5.8.3,False
2025-10-23 04:36:52+00:00,App Store,5,Awesome app for all my financial assets and liabilities,I loved the way this app shows all my assets and liabilities in a very structured way. My loans have suddenly stopped being tracked from last 2 month. Is that featured removed from app? Can someone help me track them back ?,0,5.8.2,False
2025-10-21 18:37:52+00:00,App Store,1,not able to add money,"tried to add money multiple times during muhurat trading today and everytime it failed, had to opt for other app",0,5.8.2,False
2025-10-21 10:43:10+00:00,App Store,1,App crashes constantly on launch,"I just installed app on new device and its crashes constantly on launch sometimes plus when I click on usa stocks, seamless you dont have firebase crashlytics alerts integration",0,5.8.2,False
